user;star;fork;watch;issue;pull_requests;projects;commits;branches;packages;releases;contributers;license_ contributor;"license_110
    
    contributors";"license_2
    
    contributors";license_AGPL-3.0;license_Apache-2.0;license_BSD-2-Clause;license_BSD-3-Clause;license_CC-BY-4.0;license_CC-BY-SA-4.0;license_CC0-1.0;license_Fetching contributors;license_GPL-2.0;license_GPL-3.0;license_ISC;license_LGPL-2.1;license_LGPL-3.0;license_MIT;license_MPL-2.0;license_MS-PL;license_OFL-1.1;license_Unlicense;license_View license;license_WTFPL;license_contributor;license_contributors;cluster
keras-team;47900;18100;2100;2940;87;1;5342;6;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;leader
scikit-learn;40300;19600;2200;1505;764;17;25405;21;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;leader
jakevdp;23100;9900;1500;65;67;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;leader
CamDavidsonPilon;21000;6600;1400;127;38;0;79;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;contributor
abhat222;18400;8200;1500;7;0;0;363;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;maintainer
donnemartin;18300;5700;1600;8;4;0;543;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;leader
explosion;16200;2900;557;183;15;0;11317;56;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;contributor
eriklindernoren;15900;3100;821;20;9;0;374;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;contributor
datasciencemasters;14700;5300;1600;22;54;1;296;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;leader
ipython;14100;4000;817;1292;22;0;24384;18;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;leader
virgili0;12500;2500;873;1;0;0;1181;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;contributor
academic;12100;3400;1300;0;0;0;441;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;contributor
plotly;11700;1200;389;295;16;0;3135;55;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;contributor
